x,n
0.5,0.0
0.965,1.0
0.1303715000000001,2.0
0.43762661987271534,3.0
0.9499829072027793,4.0
0.18340937924979261,5.0
0.5781136623725737,6.0
0.9414472671978702,7.0
0.2127798376944343,8.0
0.6465676724895348,9.0
0.8820791610906616,10.0
0.40149988658858904,11.0
0.9275492287596453,12.0
0.25939839596994546,13.0
0.7415479510133163,14.0
0.7397867072144966,15.0
0.7430590132668651,16.0
0.7369601400291883,17.0
0.7482605832641612,18.0
0.7270953955977264,19.0
0.7659308498114848,20.0
0.6920238228375701,21.0
0.8226696466465836,22.0
0.5631133946532599,23.0
0.9496244597432195,24.0
0.18465408247438536,25.0
0.5811498358777231,26.0
0.9395807579688917,27.0
0.21912740288268925,28.0
0.6604868549679065,29.0
0.8655817218164892,30.0
0.44911101804044773,31.0
0.9550038024483646,32.0
0.1658701434640643,33.0
0.5340589424291217,34.0
0.9605223553807538,35.0
0.146367958351012,36.0
0.48228530339999,37.0
0.9637886915640665,38.0
0.13471419136834384,39.0
0.4499458331275438,40.0
0.9553290802617985,41.0
0.1647271546582663,42.0
0.5311055800211275,43.0
0.96126522956138,44.0
0.14372473767107322,45.0
0.475042238566474,46.0
0.9625956451567169,47.0
0.13898033865667767,48.0
0.461906143916914,49.0
0.9593985923768635,50.0
0.1503583226235236,51.0
0.493117692123665,52.0
0.96481716661582,53.0
0.13102770625027052,54.0
0.43949746327794453,55.0
0.9508702501737579,56.0
0.18032382758185636,57.0
0.5705355788820092,58.0
0.9457954659514702,59.0
0.19788831379325056,60.0
0.6126921221612341,61.0
0.9159798744267983,62.0
0.2970684721173994,63.0
0.8060405486661605,64.0
0.6034692447283657,65.0
0.9236752854260184,66.0
0.2721271147240419,67.0
0.7645654398821987,68.0
0.6948197941569634,69.0
0.8184946565259044,70.0
0.5734460535307623,71.0
0.9441779140721196,72.0
0.20344508531108724,73.0
0.6255330047350675,74.0
0.9041720538276361,75.0
0.3344495104923366,76.0
0.8592091167357638,77.0
0.4669396083521018,78.0
0.960781060545778,79.0
0.14544794297530894,80.0
0.4797703579979024,81.0
0.9634203397160424,82.0
0.1360325325266261,83.0
0.4536568549171314,84.0
0.956709927808777,85.0
0.15986592150588072,86.0
0.5184320013772513,87.0
0.963688608715384,88.0
0.13507249420970333,89.0
0.4509557538982177,90.0
0.9557153950278283,91.0
0.1633686279156733,92.0
0.527582172608487,93.0
0.9620634036911951,94.0
0.14088000634152748,95.0
0.4671867243972912,96.0
0.9608438953246918,97.0
0.1452244099879829,98.0
0.47915832362407296,99.0
0.9633233106697466,100.0
0.13637962778949822,101.0
0.4546316681660951,102.0
0.9570550178411095,103.0
0.15864874317177557,104.0
0.5152301731225154,105.0
0.9641046414509007,106.0
0.13358256368520133,107.0
0.4467496927269332,108.0
0.9540546024327505,109.0
0.16920085351719827,110.0
0.5426076292889245,111.0
0.9579925171158176,112.0
0.15533741746644175,113.0
0.5064617382170108,114.0
0.9648388293253692,115.0
0.13094997022048213,116.0
0.43927601150618467,117.0
0.9507666252746155,118.0
0.18068447521874256,119.0
0.5714251191459668,120.0
0.94530802609024,121.0
0.19956494093251054,122.0
0.6165916725928204,123.0
0.912528634064553,124.0
0.3081056866565798,125.0
0.822861569874925,126.0
0.5626351698538898,127.0
0.949856585019865,128.0
0.18384814424906268,129.0
0.5791852958462207,130.0
0.9407965992379415,131.0
0.21499566226702532,132.0
0.6514619560472796,133.0
0.8764488048594812,134.0
0.41798510765469143,135.0
0.9390359316936475,136.0
0.22097515963209877,137.0
0.6644802344465954,138.0
0.8605725345588771,139.0
0.4631515466620994,140.0
0.9597588591382935,141.0
0.14908011497327947,142.0
0.4896612043703363,143.0
0.9645874019170222,144.0
0.13185198748276636,145.0
0.44184277779529757,146.0
0.9519444667709708,147.0
0.17658032796669715,148.0
0.5612429027636213,149.0
0.9505223244837905,150.0
0.18153439164704768,151.0
0.5735174733040421,152.0
0.9441373991192993,153.0
0.20358400691568082,154.0
0.6258509779092102,155.0
0.9038635110468806,156.0
0.33541186075726065,157.0
0.8604354734635647,158.0
0.4635330001507102,159.0
0.9598668095788886,160.0
0.14869691734825408,161.0
0.488622516300809,162.0
0.9645003340576441,163.0
0.13216423708890085,164.0
0.44272984688113326,165.0
0.9523397001083224,166.0
0.17520075142482414,167.0
0.5577910297625043,168.0
0.9521083599528988,169.0
0.17600839912230243,170.0
0.5598136482843279,171.0
0.9511901840686263,172.0
0.17920983270845972,173.0
0.5677815606765932,174.0
0.9472658477244669,175.0
0.1928195892329521,176.0
0.6007711536302125,177.0
0.9258023739406993,178.0
0.2651524260173544,179.0
0.752107941598638,180.0
0.7196645211219852,181.0
0.7787453428985608,182.0
0.6650819905157241,183.0
0.8598070345324341,184.0
0.46528014589776645,185.0
0.9603468924821217,186.0
0.14699165092672806,187.0
0.48398650717041314,188.0
0.9640101726629515,189.0
0.13392100030804993,190.0
0.4477066007003291,191.0
0.9544444455041847,192.0
0.16783374936852116,193.0
0.5391091462939028,194.0
0.9590960322499857,195.0
0.1514310160451554,196.0
0.496008700819293,197.0
0.9649385083890812,198.0
0.13059222798937387,199.0
0.43825628619564067,200.0
0.950284575289791,201.0
0.18236107284851705,202.0
0.575547276158092,203.0
0.9429694709912589,204.0
0.20758326439113542,205.0
0.6349408675604018,206.0
0.8947131143314979,207.0
0.3636180114664572,208.0
0.8932038193660373,209.0
0.3682083198428082,210.0
0.8979554787395897,211.0
0.3536973465928157,212.0
0.8823787597192267,213.0
0.40061582868616136,214.0
0.9268739558601296,215.0
0.26162549562013127,216.0
0.7456655192539765,217.0
0.732043027227742,218.0
0.7571622893678437,219.0
0.7097287697385651,220.0
0.795213434535639,221.0
0.6285972483489339,222.0
0.9011662061879387,223.0
0.3437935055493162,224.0
0.8708141900129139,225.0
0.4342377888323569,226.0
0.9483067799078412,227.0
0.18922118000223703,228.0
0.5921877866574804,229.0
0.9321954502860123,230.0
0.2439793780229945,231.0
0.7119902827328779,232.0
0.7915320633035812,233.0
0.636934956414593,234.0
0.8926204363672915,235.0
0.36997788477448434,236.0
0.8997438032718114,237.0
0.3481908821387393,238.0
0.8760424080939574,239.0
0.4191655342355048,240.0
0.939777946098035,241.0
0.21845808236556413,242.0
0.6590338136528366,243.0
0.8673738300040345,244.0
0.4440407704487238,245.0
0.9529126594641864,246.0
0.17319867438272096,247.0
0.5527554491986861,248.0
0.9542570895582011,249.0
0.16849091682239412,250.0
0.5407926691950687,251.0
0.9585767984201748,252.0
0.15327025500971098,253.0
0.5009449480044209,254.0
0.9649965533028181,255.0
0.1303838729076879,256.0
0.43766192577005997,257.0
0.9499999029750275,258.0
0.1833503370647183,259.0
0.5779693451170738,260.0
0.9415342155169765,261.0
0.21248349099733957,262.0
0.6459102322165632,263.0
0.8828213879592033,264.0
0.39930844979501817,265.0
0.9258642772288461,266.0
0.26494892308816065,267.0
0.7517388261963764,268.0
0.7203823946671444,269.0
0.7775259764661916,270.0
0.6677002230118393,271.0
0.8564438118788684,272.0
0.4745785426367908,273.0
0.9625054730913478,274.0
0.13930233321171737,275.0
0.4628031656496676,276.0
0.9596592866852518,277.0
0.14943349303306122,278.0
0.49061805938497716,279.0
0.9646602396745433,280.0
0.13159072602920052,281.0
0.44109998244991044,282.0
0.9516088414198327,283.0
0.1777508937965445,284.0
0.5641602823071458,285.0
0.949110148552672,286.0
0.18643828744260815,287.0
0.5854811423337717,288.0
0.9367948808185099,289.0
0.22855149587027074,290.0
0.6805786390781269,291.0
0.8391306307195495,292.0
0.5210630030879556,293.0
0.9632875106175387,294.0
0.1365076744724033,295.0
0.45499105103060317,296.0
0.9571803908189069,297.0
0.15820630836759203,298.0
0.514063499310721,299.0
0.9642365614303502,300.0
0.1331098420209133,301.0
0.4454116222353918,302.0
0.9534976207902897,303.0
0.17115204463893005,304.0
0.5475758259036968,305.0
0.9562630474477831,306.0
0.16144076171993535,307.0
0.5225576987963585,308.0
0.9630358398685491,309.0
0.1374075504492975,310.0
0.45751312194125004,311.0
0.9580321796442887,312.0
0.15519717650376602,313.0
0.5060885098288361,314.0
0.9648569099855276,315.0
0.1308850855014092,316.0
0.43909113439353425,317.0
0.9506798249494592,318.0
0.18098650418040563,319.0
0.5721693034119519,320.0
0.9448955437498299,321.0
0.2009823068849568,322.0
0.6198712981280493,323.0
0.9095351654764717,324.0
0.31760446019929345,325.0
0.8365850068547221,326.0
0.5277026579999416,327.0
0.9620376921753897,328.0
0.14097172009566575,329.0
0.4674409597236892,330.0
0.9609080483396621,331.0
0.14499615596629334,332.0
0.47853296498418585,333.0
0.9632211823334511,334.0
0.13674488587713463,335.0
0.4556564871654344,336.0
0.9574099000762342,337.0
0.15739606758528296,338.0
0.5119230256067319,339.0
0.9644512680370715,340.0
0.13234017572839962,341.0
0.44322933895998307,342.0
0.9525595752940069,343.0
0.1744327469254732,344.0
0.5558630199804571,345.0
0.9529541867748393,346.0
0.17305346807693567,347.0
0.5523890259170354,348.0
0.9544058052589718,349.0
0.1679693056072093,350.0
0.539456685406819,351.0
0.9589906361100903,352.0
0.1518045204181631,353.0
0.49701324487527004,354.0
0.9649655660741642,355.0
0.1304951063301818,356.0
0.43797927551865745,357.0
0.9501522387763642,358.0
0.18282103302906083,359.0
0.5766743612374168,360.0
0.9423072233892996,361.0
0.20984627573132206,362.0
0.6400297508910417,363.0
0.8893118418204161,364.0
0.37996407869900584,365.0
0.909382717526047,366.0
0.3180863516812167,367.0
0.837262658783651,368.0
0.5259400501021048,369.0
0.9624026592707031,370.0
0.13966939349961466,371.0
0.46382475651358873,372.0
0.9599486177885777,373.0
0.14840645831829485,374.0
0.4878344483881801,375.0
0.9644287175063635,376.0
0.1324210301318224,377.0
0.44345880551510664,378.0
0.9526599402392149,379.0
0.17408205702015347,380.0
0.5549811285530121,381.0
0.9533315114417235,382.0
0.17173348723309545,383.0
0.549050632860003,384.0
0.9557129767058882,385.0
0.1633771358467743,386.0
0.5276042826910168,387.0
0.9620586938076616,388.0
0.14089680702028434,389.0
0.46723330161624416,390.0
0.9608556858213279,391.0
0.14518246222615272,392.0
0.4790434274680832,393.0
0.9633047731813779,394.0
0.13644593238877878,395.0
0.45481777810407537,396.0
0.957120067942753,397.0
0.1584191998482899,398.0
0.5146250698953894,399.0
0.9641743742959422,400.0
0.13333269995330627,401.0
0.4460426515551659,402.0
0.9537620135583788,403.0
0.17022613529858038,404.0
0.5452219048971746,405.0
0.9571062201654378,406.0
0.158468067456216,407.0
0.5147539247442255,408.0
0.964159761779917,409.0
0.13338506200142522,410.0
0.4461908607321225,411.0
0.9538236654106256,412.0
0.17001015155320123,413.0
