x,y,n
1.0,0.0,0.0
-0.3999999999999999,0.3,1.0
1.076,-0.11999999999999997,2.0
-0.7408864000000001,0.32280000000000003,3.0
0.554322279213056,-0.22226592,4.0
0.3475516150752599,0.1662966837639168,5.0
0.9971877085659265,0.10426548452257796,6.0
-0.2878711720383706,0.2991563125697779,7.0
1.1831385762027349,-0.08636135161151118,8.0
-1.0461049983101596,0.35494157286082045,9.0
-0.17712836162447815,-0.31383149949304784,10.0
0.6422442614184716,-0.053138508487343444,11.0
0.36939272365771536,0.19267327842554147,12.0
1.0016419004177701,0.1108178170973146,13.0
-0.2937832782442163,0.30049257012533104,14.0
1.179660509719045,-0.08813498347326489,15.0
-1.0363734689401003,0.35389815291571347,16.0
-0.14979980105639834,-0.3109120406820301,17.0
0.6576719867628187,-0.0449399403169195,18.0
0.34951464064150617,0.1973015960288456,19.0
1.02627691839698,0.10485439219245185,20.0
-0.3696876463357104,0.307883075519094,21.0
1.1165465373245618,-0.11090629390071312,22.0
-0.8562529319167697,0.33496396119736854,23.0
0.30852724441487883,-0.2568758795750309,24.0
0.6098594356602354,0.09255817332446364,25.0
0.5718582295551147,0.18295783069807062,26.0
0.7251272621041962,0.1715574688665344,27.0
0.4354241041211156,0.21753817863125885,28.0
0.9521063680017123,0.13062723123633468,29.0
-0.13848191914884211,0.28563191040051367,30.0
1.2587837716969086,-0.04154457574465263,31.0
-1.2598957931871453,0.3776351315090726,32.0
-0.8446372420578597,-0.37796873795614355,33.0
-0.3767456368956941,-0.2533911726173579,34.0
0.547896642494723,-0.11302369106870823,35.0
0.4667092857315053,0.1643689927484169,36.0
0.8594244124052004,0.14001278571945158,37.0
0.10595833682621808,0.2578273237215601,38.0
1.2421092869213906,0.03178750104786542,39.0
-1.128182171871046,0.37263278607641714,40.0
-0.40928023202232167,-0.3384546515613138,41.0
0.4270309167847426,-0.1227840696066965,42.0
0.6219183649472787,0.12810927503542277,43.0
0.5866138413132477,0.1865755094841836,44.0
0.7048133911357859,0.1759841523939743,45.0
0.48051746953991753,0.21144401734073576,46.0
0.8881881633944719,0.14415524086197526,47.0
0.03972574183031205,0.2664564490183416,48.0
1.2642470606287854,0.011917722549093615,49.0
-1.2257311598828398,0.3792741181886356,50.0
-0.7241095086421885,-0.3677193479648519,51.0
-0.10178776067329615,-0.21723285259265654,52.0
0.7682620998953056,-0.030536328201988844,53.0
0.14314635600824885,0.23047862996859167,54.0
1.2017913990347753,0.04294390680247465,55.0
-0.9790796867090727,0.36053741971043257,56.0
0.01850157361356214,-0.2937239060127218,57.0
0.7057968624706289,0.005550472084068642,58.0
0.30814157658133134,0.21173905874118867,59.0
