t,x,y,z
0.0,0.1,0.0,0.0
0.010002000400080016,0.0917911571008872,0.026639478182064576,1.264396698820976e-05
0.020004000800160033,0.08679066098812625,0.051186420774965706,4.657299509157643e-05
0.03000600120024005,0.08453608746147571,0.07448805335035028,9.840170192172784e-05
0.040008001600320066,0.08468351203669972,0.09727150081028736,0.00016742671331846179
0.05001000200040008,0.08698647561270081,0.12017476645176492,0.00025500606071100854
0.0600120024004801,0.0912794291077726,0.1437724769445931,0.0003642565072312987
0.07001400280056011,0.09746508160677053,0.1685971807285767,0.0004999898124100429
0.08001600320064013,0.10550480335880638,0.19515736628914418,0.0006688292133433201
0.09001800360072015,0.11541150949219053,0.22395301242392104,0.0008794816645784846
0.10002000400080016,0.12724462005991077,0.25548927584315867,0.001143161918835064
0.11002200440088018,0.1411067366539614,0.2902888834788292,0.0014741805581736868
0.1200240048009602,0.1571417694683708,0.32890367587064995,0.0018907196592254539
0.1300260052010402,0.17553431420771307,0.37192568630587736,0.002415835176051529
0.14002800560112022,0.19651013217241897,0.4199980853503511,0.003078739713023507
0.15003000600120026,0.2203376364347157,0.47382626595911814,0.003916434581094398
0.16003200640128026,0.24733030501586056,0.5341893458219801,0.004975782000650286
0.17003400680136027,0.27784999156306517,0.6019523145869781,0.006316132789233699
0.1800360072014403,0.3123111163757922,0.6780790600193142,0.00801265802585518
0.19003800760152031,0.35118574908666594,0.7636464669404214,0.010160554207865609
0.20004000800160032,0.3950096106646718,0.8598598664356661,0.01288040593707422
0.21004200840168036,0.4443890492139418,0.9680699339690653,0.0163249297874469
0.22004400880176037,0.5000090387309204,1.0897913290480679,0.020687536924176315
0.23004600920184037,0.5626422790666219,1.2267232412545062,0.026213163452713982
0.2400480096019204,0.6331594879837962,1.3807720054094972,0.03321197020109963
0.2500500100020004,0.7125409733977999,1.554075938097651,0.04207666600935426
0.2600520104020804,0.8018895755889384,1.7490325016711334,0.05330440150133125
0.27005401080216046,0.902445080064091,1.968327795176333,0.06752442100044574
0.28005601120224044,1.015600174662598,2.214968265089049,0.08553295745868157
0.2900580116023205,1.1429179978807265,2.492314333326692,0.10833722502060396
0.3000600120024005,1.2861512921636917,2.804115330955875,0.13721079795445743
0.3100620124024805,1.4472630823902908,3.1545447269512303,0.17376319938999804
0.3200640128025605,1.6284486851524198,3.548233958387165,0.2200271930501342
0.33006601320264056,1.8321586790349191,3.9903023544146943,0.2785678931614004
0.34006801360272054,2.0611222045614817,4.486379285485947,0.3526187049156226
0.3500700140028006,2.3183695472626127,5.042612839403173,0.44624989128420445
0.3600720144028806,2.6072524340394123,5.665656891498269,0.5645762830037352
0.3700740148029606,2.931459661835027,6.3626247914858896,0.7140111634752195
0.38007601520304063,3.2950245715897712,7.140993269314002,0.9025732647062075
0.39007801560312066,3.702319365056187,8.008433718982085,1.1402526119939826
0.40008001600320064,4.158029175760258,8.972539884649121,1.4394378386191375
0.4100820164032807,4.667096075460144,10.040410695100423,1.8154012840864202
0.4200840168033607,5.234619462771481,11.218034415718778,2.286826317470021
0.4300860172034407,5.865695287750284,12.50940853815857,2.876343133613652
0.44008801760352073,6.565170690519489,13.915316290366862,3.6110072318383546
0.45009001800360077,7.3372856785752285,15.431677435075288,4.522610753379083
0.46009201840368075,8.18516824075233,17.04740037126093,5.647651571134499
0.4700940188037608,9.110147410870786,18.741703901930045,7.026701666783579
0.4800960192038408,10.110853014043794,20.480968340059515,8.702821973650408
0.4900980196039208,11.182087027656255,22.215347196035914,10.718582133870978
0.5001000200040008,12.3134873482982,23.875644197841506,13.111215489494047
0.5101020204040808,13.488068367850516,25.37134023691777,15.905546935576233
0.5201040208041608,14.680820032710743,26.591090324543107,19.104690054550286
0.5301060212042409,15.857673455869664,27.407344800895864,22.6792353598582
0.5401080216043209,16.975270751736506,27.68669211633079,26.556762499063115
0.550110022004401,17.982055274689767,27.306691167988518,30.614811643717672
0.5601120224044809,18.82113812915042,26.17805890267021,34.68136013287605
0.5701140228045609,19.435117445002817,24.268317052107765,38.54648272923292
0.580116023204641,19.772500965715178,21.620310470517968,41.98644009459597
0.590118023604721,19.794726993850357,18.35817069462609,44.79702455082269
0.600120024004801,19.482257998324616,14.675780483993673,46.82823555524531
0.6101220244048811,18.838153730486784,10.808509864811413,48.00998566994558
0.620124024804961,17.888076694115274,6.995478800742561,48.36063078464833
0.630126025205041,16.67668850048768,3.443323060881679,47.97621532330198
0.640128025605121,15.261424581913474,0.3012196499570761,47.00527301644503
0.6501300260052011,13.70523923302847,-2.3482600919602317,45.618186108236074
0.6601320264052811,12.069898041984,-4.483908699856525,43.97988988367287
0.670134026805361,10.410896022027973,-6.131573818767943,42.2312723021169
0.6801360272054411,8.774410135926875,-7.346864846578193,40.48042735476157
0.6901380276055211,7.196138211015234,-8.199451672979785,38.80192926441994
0.7001400280056012,5.701563484997141,-8.761273273380777,37.24110367189853
0.7101420284056812,4.30710438785247,-9.099079468220447,35.82046772462995
0.7201440288057612,3.0216801022010475,-9.270629538768759,34.54635208790972
0.7301460292058412,1.848354855207974,-9.323482412069884,33.41462296021699
0.7401480296059212,0.7858573181793896,-9.29536311541198,32.41510884271282
0.7501500300060012,-0.17012315036322845,-9.21532794843316,31.534748731725593
0.7601520304060813,-1.0258914595815767,-9.105214031431624,30.759668795836316
0.7701540308061613,-1.7889402054600971,-8.981075654708295,30.076447114759386
0.7801560312062413,-2.467349572607195,-8.854461341212552,29.472806521876528
0.7901580316063213,-3.0693558278590487,-8.733479178837218,28.937928554077263
