K,Media do RMSE,Desvio Padrao do RMSE
1.0,1.4611791406241674,0.012334915311271132
2.0,0.005251074759926142,0.0020174188671898317
3.0,0.00393408843113256,0.0018947598368147327
4.0,0.003830370555963072,0.00104085974142966
5.0,0.003018506288177835,0.0009070134259571955
6.0,0.002409366466095327,0.0014267532299665322
7.0,0.0012367120932855972,0.0010456959856769109
8.0,0.00044474259867662057,0.0004504765747767002
9.0,0.0006614587878923725,0.0007926458107061738
10.0,0.0004422597993239766,0.0005400815205244215
