K,Media do MSE,Desvio Padrao do MSE
7.0,3.749979568332916e-05,1.0158220803661591e-05
6.0,5.089426394198922e-05,2.077475432143483e-05
5.0,5.6384552303292186e-05,2.0799089353597295e-06
