K,Media do MSE,Desvio Padrao do MSE
7.0,5.8173116625045836e-05,6.32519540184255e-06
5.0,8.594300500844604e-05,2.4126007698421957e-05
6.0,5.1011247153191254e-05,9.375900324069459e-06
