K,Media do MSE,Desvio Padrao do MSE
1.0,4.811609258093879e-07,3.775548031741213e-08
2.0,6.493214201148621e-07,5.718674214845112e-08
3.0,7.789338594150906e-07,2.2068503211107892e-08
