K,Media do MSE,Desvio Padrao do MSE
2.0,1.1792258808541113e-06,1.5925246758386755e-06
1.0,4.8330589552645174e-05,8.415647907785478e-05
3.0,5.384148434154472e-05,9.854039811331364e-05
