K,Media do MSE,Desvio Padrao do MSE
1.0,1.2157649274187778e-05,3.7056317938404856e-06
2.0,2.3053965777948953e-06,4.06541985283036e-06
3.0,4.007179521386351e-05,4.187073542086362e-05
4.0,0.00017077248972737267,0.00017986049155838382
5.0,0.0006577419989455063,0.0005962946336886021
6.0,0.004673713705161422,0.005858667678717492
7.0,0.006797847364181274,0.008807893552615768
8.0,0.005059087171493807,0.00256627814083531
9.0,0.026687269107742034,0.024104182985749328
10.0,0.021171171016337247,0.01735437746542136
