K,Media do MSE,Desvio Padrao do MSE
1.0,3.25113628940918e-09,5.356000829192067e-10
2.0,1.3114216362364255e-08,3.6563173617054953e-09
3.0,8.867297500832678e-08,2.471943597636975e-08
